City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,naze,28.3667,129.4833,25.51,92,97,7.57,JP,overcast clouds
82,zanzibar,-6.1639,39.1979,23.53,85,30,4.43,TZ,light rain
83,dudinka,69.4058,86.1778,13.68,61,1,2.49,RU,clear sky
84,avarua,-21.2078,-159.775,22.03,78,100,2.57,CK,overcast clouds
85,sint-maria-lierde,50.8217,3.8481,15.58,94,100,8.31,BE,light rain
86,arar,30.9753,41.0381,33.01,9,0,5.14,SA,clear sky
87,iqaluit,63.7506,-68.5145,10.39,76,100,2.24,CA,overcast clouds
88,kashgar,39.4547,75.9797,28.56,28,40,3.0,CN,scattered clouds
89,udachny,66.4167,112.4,10.25,70,98,4.69,RU,overcast clouds
90,sheridan,44.8333,-106.9173,15.73,93,100,2.57,US,mist
91,bardai,11.65,7.2333,23.03,87,100,3.09,NG,moderate rain
92,vila franca do campo,37.7167,-25.4333,23.23,71,100,2.82,PT,overcast clouds
93,hanceville,34.0607,-86.7675,37.16,46,10,0.57,US,clear sky
94,saudarkrokur,65.7461,-19.6394,11.26,70,93,1.95,IS,overcast clouds
95,kandyagash,49.4744,57.4233,24.05,43,28,3.44,KZ,scattered clouds
96,papatowai,-46.5619,169.4708,6.2,80,100,3.57,NZ,overcast clouds
97,humaita,-7.5061,-63.0208,37.33,25,95,1.31,BR,overcast clouds
98,el alto,-4.2714,-81.2147,26.81,60,32,8.49,PE,scattered clouds
99,blackmans bay,-43.0167,147.3167,8.62,86,93,2.79,AU,overcast clouds
100,severo-yeniseyskiy,60.3725,93.0408,8.07,99,100,1.5,RU,light rain
101,alaghsas,17.0187,8.0168,35.56,27,100,3.68,NE,overcast clouds
102,san patricio,28.017,-97.5169,37.88,37,14,7.59,US,few clouds
103,bamboo flat,11.7,92.7167,28.05,83,40,4.12,IN,mist
104,bikenibeu village,1.3673,173.1241,27.98,83,75,1.03,KI,broken clouds
105,hasaki,35.7333,140.8333,26.84,90,0,4.87,JP,clear sky
106,saldanha,-33.0117,17.9442,10.03,89,100,1.76,ZA,overcast clouds
107,katsuren-haebaru,26.3369,127.8719,27.21,94,100,20.06,JP,heavy intensity rain
108,upington,-28.4478,21.2561,17.1,27,0,6.07,ZA,clear sky
109,ribeira grande,38.5167,-28.7,23.76,78,75,3.09,PT,broken clouds
110,anadyr,64.75,177.4833,11.28,87,75,9.0,RU,light rain
111,kone,-21.0595,164.8658,16.35,88,19,2.5,NC,few clouds
112,fisterra,42.9049,-9.2629,23.19,88,26,8.78,ES,scattered clouds
113,simanggang,1.2472,111.4528,24.99,100,100,0.51,MY,light rain
114,bernay,49.1667,0.6667,14.96,88,100,4.92,FR,overcast clouds
115,massakory,12.996,15.7293,28.04,68,83,1.81,TD,broken clouds
116,la'ie,21.6477,-157.9253,27.46,71,37,5.54,US,scattered clouds
117,kerimaki,61.9167,29.2833,17.97,82,0,2.06,FI,clear sky
118,talnakh,69.4865,88.3972,13.45,52,0,0.36,RU,clear sky
119,selfoss,63.9331,-20.9971,13.36,83,86,4.29,IS,light rain
120,tawau,4.2498,117.8871,26.07,88,45,0.89,MY,scattered clouds
121,ciudad bolivar,8.1222,-63.5497,34.84,42,59,1.98,VE,broken clouds
122,haiku-pauwela,20.9219,-156.3051,27.32,60,20,8.75,US,few clouds
123,ghat,24.9647,10.1728,37.9,8,1,4.89,LY,clear sky
124,qaqortoq,60.7167,-46.0333,9.55,73,4,0.8,GL,clear sky
125,klyuchi,52.2667,79.1667,19.4,68,89,1.81,RU,overcast clouds
126,tiksi,71.6872,128.8694,1.71,83,97,3.47,RU,overcast clouds
127,mount isa,-20.7333,139.5,13.87,58,0,2.57,AU,clear sky
128,ashland,40.8167,-82.2665,27.71,64,94,2.55,US,overcast clouds
129,isafjordur,66.0755,-23.124,12.46,63,88,1.26,IS,overcast clouds
130,stanley,54.868,-1.6985,12.38,83,20,3.6,GB,few clouds
131,edinburgh of the seven seas,-37.0676,-12.3116,13.45,80,8,16.55,SH,clear sky
132,nantucket,41.2835,-70.0995,28.03,68,0,6.17,US,clear sky
133,kuala belait,4.5833,114.1833,25.09,86,40,1.01,BN,scattered clouds
134,mejit,10.2753,170.8646,27.72,76,100,6.64,MH,overcast clouds
135,mwinilunga,-11.7358,24.4293,15.67,40,0,2.32,ZM,clear sky
136,kambove,-10.8764,26.5969,16.1,41,0,2.18,CD,clear sky
137,komsomol'skiy,43.9783,46.6985,24.84,54,0,3.43,RU,clear sky
138,banfora,10.6333,-4.7667,26.93,75,81,2.33,BF,broken clouds
139,port mathurin,-19.6833,63.4167,22.87,74,56,11.72,MU,light rain
140,walvis bay,-22.9575,14.5053,13.53,82,0,0.51,NA,clear sky
141,punta arenas,-53.15,-70.9167,4.83,91,100,13.05,CL,moderate rain
142,port elizabeth,-33.918,25.5701,21.17,88,0,1.03,ZA,clear sky
143,paracuru,-3.41,-39.0306,27.28,61,27,7.04,BR,scattered clouds
144,tolanaro,-25.0319,46.9987,20.04,73,20,6.17,MG,few clouds
145,seydi,39.4816,62.9137,32.15,21,29,3.97,TM,scattered clouds
146,warrenton,-28.114,24.8475,11.93,23,0,4.19,ZA,clear sky
147,kulachi,31.9286,70.4592,37.43,37,0,4.41,PK,clear sky
148,benghazi,32.1167,20.0667,28.39,69,0,5.67,LY,clear sky
149,el nido,11.1858,119.3956,27.2,81,6,4.28,PH,clear sky
150,acarau,-2.8856,-40.12,29.52,61,63,8.87,BR,broken clouds
151,klaksvik,62.2266,-6.589,11.51,76,99,0.75,FO,overcast clouds
152,fale old settlement,-9.3852,-171.2468,28.05,77,33,6.31,TK,scattered clouds
153,kutum,14.2,24.6667,20.37,81,88,7.71,SD,moderate rain
154,lompoc,34.6391,-120.4579,28.8,94,100,7.2,US,overcast clouds
155,barra de santo antonio,-9.4047,-35.5072,26.6,76,17,3.66,BR,few clouds
156,trairi,-3.2778,-39.2689,28.56,61,68,6.66,BR,broken clouds
157,kiiminki,65.1314,25.7974,15.92,100,6,2.0,FI,clear sky
158,floro,61.5996,5.0328,15.04,63,78,4.63,NO,broken clouds
159,usogorsk,63.4106,48.6872,16.53,94,32,2.25,RU,scattered clouds
160,ust-nera,64.5667,143.2,12.99,68,100,2.26,RU,light rain
161,kouroussa,10.65,-9.8833,24.64,91,46,1.7,GN,light rain
162,koryazhma,61.3143,47.1691,16.79,93,25,1.89,RU,scattered clouds
163,noumea,-22.2763,166.4572,20.56,99,26,5.67,NC,scattered clouds
164,uturoa,-16.7333,-151.4333,25.78,73,5,3.54,PF,clear sky
165,punta del este,-34.9667,-54.95,19.06,85,0,5.81,UY,clear sky
166,howrah,22.5892,88.3103,29.0,84,75,3.6,IN,haze
167,peterhead,57.5058,-1.7981,13.58,69,100,3.02,GB,overcast clouds
168,kailua-kona,19.6406,-155.9956,27.5,74,40,3.6,US,scattered clouds
169,papao,-17.75,-149.55,26.82,79,72,1.01,PF,light rain
170,maine soroa,13.2114,12.0241,28.68,61,100,5.29,NE,light rain
171,badger,64.8,-147.5333,22.77,59,100,0.0,US,haze
172,bridgnorth,52.5366,-2.4203,13.81,93,75,7.57,GB,broken clouds
173,afaahiti,-17.75,-149.2833,25.93,76,18,1.24,PF,few clouds
174,tofol,5.3248,163.0078,28.1,70,40,1.25,FM,scattered clouds
175,leava,-14.3,-178.1667,26.81,83,72,4.36,WF,moderate rain
176,sinan,34.8262,126.1086,26.06,87,0,5.47,KR,clear sky
177,langepas,61.2544,75.2124,15.93,56,0,2.77,RU,clear sky
178,hamilton,39.1834,-84.5333,29.56,63,20,4.63,US,haze
179,vrnjacka banja,43.6167,20.9,18.57,98,100,0.48,RS,heavy intensity rain
180,ebon,4.582,168.6964,28.6,77,18,6.31,MH,light rain
181,sechura,-5.5569,-80.8222,28.13,51,1,4.93,PE,clear sky
182,taltal,-25.4,-70.4833,17.07,72,3,3.17,CL,clear sky
183,lins,-21.6786,-49.7425,32.12,15,0,1.97,BR,clear sky
184,luwuk,-0.9516,122.7875,24.47,88,69,2.57,ID,broken clouds
185,virginia beach,36.8529,-75.978,30.02,79,75,3.6,US,broken clouds
186,kayenta,36.7278,-110.2546,31.79,9,0,6.44,US,clear sky
187,guerrero negro,27.9769,-114.0611,26.52,50,8,4.92,MX,clear sky
188,constantia,44.1833,28.65,23.38,84,0,4.44,RO,clear sky
189,lebu,-37.6167,-73.65,12.96,70,0,2.01,CL,clear sky
190,lycksele,64.5954,18.6735,13.93,77,100,1.03,SE,overcast clouds
191,ipueiras,-7.0333,-40.45,33.77,22,92,1.73,BR,overcast clouds
192,nyurba,63.2842,118.3319,14.75,70,18,4.02,RU,few clouds
193,malmberget,67.1753,20.6549,16.31,45,100,2.57,SE,overcast clouds
194,dubrovytsya,51.5744,26.565,23.78,63,0,4.37,UA,clear sky
195,yamba,-5.9,22.3,26.09,32,0,1.46,CD,clear sky
196,chibougamau,49.9168,-74.3659,22.79,38,40,7.2,CA,light rain
197,nikolayevsk-on-amure,53.1406,140.73,12.0,73,98,0.93,RU,overcast clouds
198,nova sintra,14.8667,-24.7167,22.72,79,5,6.92,CV,clear sky
199,gordonvale,-17.0936,145.7842,18.88,99,65,2.96,AU,broken clouds
200,kodiak,57.79,-152.4072,11.73,94,100,3.09,US,overcast clouds
201,abepura,-2.6333,140.5833,24.45,83,20,1.54,ID,few clouds
202,wewak,-3.5534,143.6268,24.94,87,100,2.8,PG,moderate rain
203,bel ombre,-4.6167,55.4167,25.91,83,40,5.66,SC,scattered clouds
