City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,siguiri,11.6667,-9.5,25.75,82,30,2.23,GN,1691264550
83,ushuaia,-54.8,-68.3,2.81,87,100,2.06,AR,1691264551
84,axim,4.8699,-2.2405,24.3,91,77,3.28,GH,1691264303
85,ulanhot,46.0833,122.0833,12.49,88,1,3.86,CN,1691264551
86,puerto ayora,-0.7393,-90.3518,28.98,91,45,3.58,EC,1691264551
87,ginir,7.1333,40.7,18.61,54,99,5.97,ET,1691264552
88,aweil,8.7682,27.4002,21.62,97,100,1.84,SS,1691264552
89,tsiombe,-25.3,45.4833,18.95,63,0,5.73,MG,1691264285
90,prince rupert,54.3161,-130.3201,19.05,75,20,2.57,CA,1691264552
91,itaituba,-4.2761,-55.9836,36.09,44,40,2.06,BR,1691264553
92,katsina,12.9894,7.6006,27.94,69,40,5.14,NG,1691264553
93,vorkuta,67.5,64.0,17.99,53,0,2.7,RU,1691264553
94,cobija,-11.0267,-68.7692,35.59,25,99,1.02,BO,1691264553
95,albany,42.6001,-73.9662,27.52,55,100,0.45,US,1691264554
96,ta`u,-14.2336,-169.5144,27.03,80,99,6.29,AS,1691264257
97,queenstown,-31.8976,26.8753,13.42,35,0,2.73,ZA,1691264554
98,zhezqazghan,47.7833,67.7667,27.14,36,88,3.76,KZ,1691264554
99,jamestown,42.097,-79.2353,25.29,68,100,3.6,US,1691264497
100,yarmouth,41.7057,-70.2286,28.26,76,0,3.6,US,1691264532
101,kunnattur,12.35,78.5167,26.8,64,67,3.76,IN,1691264555
102,tannum sands,-23.9504,151.3693,14.86,82,0,2.06,AU,1691264555
103,guerrero negro,27.9769,-114.0611,26.98,49,9,5.71,MX,1691264555
104,bom jesus,-9.0744,-44.3586,35.59,20,94,2.65,BR,1691264556
105,weno,7.4515,151.8468,24.97,94,100,2.06,FM,1691264304
106,coos bay,43.3665,-124.2179,26.29,77,100,5.66,US,1691264405
107,peshawar,34.008,71.5785,30.08,70,40,5.14,PK,1691264544
108,saint-pierre,-21.3393,55.4781,21.82,73,0,10.29,RE,1691264323
109,rikaze,29.25,88.8833,11.97,82,100,0.19,CN,1691264557
110,vernon,50.2581,-119.2691,30.16,23,100,1.03,CA,1691264413
111,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,3.0,RU,1691264557
112,nar'yan-mar,67.6713,53.087,18.86,86,15,1.95,RU,1691264557
113,thunder bay,48.4001,-89.3168,24.95,36,40,4.12,CA,1691264319
114,la passe,45.5549,-0.8967,18.13,74,4,8.71,FR,1691264310
115,aripuana,-9.1667,-60.6333,37.13,21,4,0.85,BR,1691264558
116,shakhtinsk,49.71,72.5872,19.15,67,56,1.8,KZ,1691264558
117,polyarnyy,69.1989,33.4478,10.88,94,100,6.59,RU,1691264558
118,vila velha,-20.3297,-40.2925,25.97,79,0,5.66,BR,1691264559
119,puerto natales,-51.7236,-72.4875,5.22,88,100,10.06,CL,1691264266
120,alexandroupoli,40.8475,25.8744,27.9,65,0,0.0,GR,1691264559
121,badger,64.8,-147.5333,23.41,57,100,0.0,US,1691264560
122,margaret river,-33.95,115.0667,8.55,80,98,1.35,AU,1691264560
123,touros,-5.1989,-35.4608,25.86,77,100,7.72,BR,1691264286
124,carutapera,-1.195,-46.02,27.88,74,73,4.47,BR,1691264560
125,howard springs,-12.497,131.047,23.79,48,3,2.88,AU,1691264560
126,kapuskasing,49.4169,-82.4331,23.05,40,40,3.09,CA,1691264303
127,afua,-0.1567,-50.3867,30.13,65,39,2.59,BR,1691264561
128,tabou,4.423,-7.3528,24.63,86,87,4.43,CI,1691264561
129,longyearbyen,78.2186,15.6401,9.91,93,75,4.63,SJ,1691264276
130,utrik,11.2278,169.8474,27.94,70,96,6.94,MH,1691264562
131,invercargill,-46.4,168.35,6.68,86,100,1.79,NZ,1691264562
132,las higueras,-33.0923,-64.289,23.09,23,0,8.75,AR,1691264562
133,ouesso,1.6136,16.0517,24.9,72,98,0.71,CG,1691264562
134,afaahiti,-17.75,-149.2833,26.93,76,22,2.14,PF,1691264562
135,tarata,-17.6167,-66.0167,23.68,22,0,3.07,BO,1691264563
136,lebu,-37.6167,-73.65,12.5,73,0,1.5,CL,1691264563
137,east london,-33.0153,27.9116,20.02,40,0,3.71,ZA,1691264563
